id,Coordx,Coordy,riesgo
280,-103.3607635,20.69334221,Poco riesgo
281,-103.435379,20.68173027,Sin riesgo
282,-103.3163376,20.64968109,Sin riesgo
283,-103.3406601,20.60936356,Riesgo moderado
284,-103.3761826,20.70283127,Sin riesgo
286,-103.306104,20.648629,Sin riesgo
287,-103.4061661,20.64614868,Alto riesgo
288,-103.3175583,20.65563393,Poco riesgo
289,-103.415329,20.6918354,Sin riesgo
291,-103.3400989,20.6502276,Riesgo moderado
292,-103.3474503,20.7035923,Alto riesgo
294,-103.3637161,20.66218758,Sin riesgo
295,-103.3676758,20.63219261,Poco riesgo
296,-103.3550186,20.69934464,Sin riesgo
297,-103.4526291,20.766819,Sin riesgo
298,-103.2768707,20.60447884,Sin riesgo
299,-103.3593597,20.67034149,Sin riesgo
300,-103.4413452,20.63021851,Sin riesgo
301,-103.4189529,20.72478676,Poco riesgo
302,-103.3607539,20.6624771,Sin riesgo
303,-103.4107437,20.62729073,Poco riesgo
304,-103.3983994,20.74594116,Sin riesgo
305,-103.2864914,20.59971619,Sin riesgo
306,-103.3238373,20.62727165,Poco riesgo
307,-103.4526987,20.6694789,Alto riesgo
308,-103.2943344,20.68035126,Alto riesgo
309,-103.3726425,20.65613747,Sin riesgo
310,-103.3177338,20.66382599,Sin riesgo
311,-103.4513092,20.61774635,Sin riesgo
312,-103.2727509,20.68844986,Sin riesgo
313,-103.4577179,20.6486187,Poco riesgo
314,-103.3846817,20.64454651,Sin riesgo
315,-103.3538208,20.71927261,Sin riesgo
316,-103.2918445,20.6629847,Alto riesgo
317,-103.3329926,20.58906174,Riesgo moderado
320,-103.3516464,20.67141151,Sin riesgo
321,-103.3720627,20.66534805,Sin riesgo
322,-103.3625031,20.7337513,Sin riesgo
323,-103.2760468,20.66856384,Sin riesgo
324,-103.2522442,20.525013,Alto riesgo
325,-103.3538818,20.74462128,Alto riesgo
326,-103.3008041,20.65535164,Alto riesgo
327,-103.2455292,20.62725067,Poco riesgo
328,-103.2893448,20.66417122,Sin riesgo
329,-103.4312286,20.66966248,Poco riesgo
330,-103.3763046,20.62420273,Sin riesgo
331,-103.3404083,20.68199539,Sin riesgo
332,-103.4270401,20.67337036,Sin riesgo
333,-103.3428639,20.6683444,Sin riesgo
334,-103.283783,20.68387604,Sin riesgo
335,-103.2786789,20.6529026,Sin riesgo
336,-103.2557449,20.62694168,Poco riesgo
337,-103.3153229,20.67378426,Sin riesgo
338,-103.3637009,20.68483162,Sin riesgo
339,-103.2420289,20.4957771,Alto riesgo
340,-103.3327103,20.66248512,Sin riesgo
342,-103.2699814,20.64919472,Sin riesgo
343,-103.3395462,20.63952637,Poco riesgo
344,-103.3740311,20.71342659,Poco riesgo
345,-103.3013819,20.6553983,Sin riesgo
346,-103.3259577,20.59567,Alto riesgo
348,-103.4337769,20.62541962,Sin riesgo
349,-103.371582,20.67136574,Sin riesgo
351,-103.4629211,20.78166962,Poco riesgo
352,-103.3560257,20.65926743,Sin riesgo
353,-103.4306183,20.67278481,Sin riesgo
354,-103.4488678,20.62972832,Sin riesgo
355,-103.3322449,20.58480263,Sin riesgo
356,-103.3234863,20.68539238,Sin riesgo
357,-103.3575401,20.676123,Sin riesgo
358,-103.3434219,20.65293121,Sin riesgo
359,-103.3137223,20.6578202,Alto riesgo
360,-103.4349672,20.6166622,Sin riesgo
361,-103.4383767,20.7635297,Poco riesgo
363,-103.3004074,20.69367981,Sin riesgo
364,-103.368103,20.7357235,Sin riesgo
365,-103.3497162,20.64326859,Sin riesgo
