id,Coordx,Coordy,riesgo
148,-103.2678632,20.475415,Alto riesgo
149,"-103.355071,",20.6965182,Poco riesgo
150,-103.4382889,20.5969362,Riesgo moderado
151,-103.337167,20.605056,Riesgo moderado
153,-103.387444,20.740139,Riesgo moderado
155,-103.2976608,20.66650772,Riesgo moderado
156,-103.3486085,20.7044818,Poco riesgo
157,-103.2612381,20.64753342,Riesgo moderado
158,-103.3186646,20.68159103,Poco riesgo
159,"-103.369443,",20.6839064,Poco riesgo
161,-103.3495865,20.67280388,Poco riesgo
162,-103.38327,20.588083,Riesgo moderado
163,-103.323494,20.70370674,Riesgo moderado
164,-103.4069672,20.62952423,Riesgo moderado
165,-103.3330307,20.66524506,Poco riesgo
166,-103.3098602,20.69374847,Poco riesgo
169,-103.409173,20.641287,Poco riesgo
170,-103.2776489,20.65996361,Poco riesgo
171,-103.3652344,20.56864738,Poco riesgo
172,-103.4608459,20.6276989,Riesgo moderado
173,-103.3068771,20.66896629,Poco riesgo
174,-103.4228973,20.67248344,Riesgo moderado
175,-103.295623,20.673968,Riesgo moderado
176,-103.4606734,20.6271458,Riesgo moderado
177,-103.455246,20.62933159,Poco riesgo
178,-103.3045502,20.65958405,Poco riesgo
179,-103.3596115,20.70246506,Poco riesgo
180,-103.3671112,20.68489265,Poco riesgo
181,-103.2481308,20.61882591,Poco riesgo
182,-103.3335648,20.67231369,Poco riesgo
183,-103.3551712,20.63059998,Riesgo moderado
184,-103.3637293,20.641565,Poco riesgo
185,-103.3472404,20.67379631,Poco riesgo
186,-103.3538208,20.71927261,Poco riesgo
187,-103.3455963,20.7185955,Alto riesgo
188,-103.3453754,20.7180709,Poco riesgo
189,-103.2482681,20.6793499,Riesgo moderado
190,-103.43288,20.64132,Riesgo moderado
191,-103.4282501,20.5554006,Alto riesgo
192,-103.566876,20.728692,Alto riesgo
193,-103.3411927,20.72685653,Riesgo moderado
194,-103.4476471,20.65880966,Poco riesgo
195,-103.3325653,20.70240402,Poco riesgo
196,-103.4502945,20.66607857,Alto riesgo
197,-103.3510361,20.65722656,Poco riesgo
199,-103.4020532,20.7280023,Riesgo moderado
200,-103.3240051,20.68318367,Poco riesgo
201,-103.4009552,20.72800255,Riesgo moderado
202,-103.3506775,20.67277908,Poco riesgo
203,-103.4312592,20.66270447,Riesgo moderado
204,-103.3345337,20.68212128,Poco riesgo
205,-103.2318268,20.67612076,Riesgo moderado
206,-103.4401398,20.71002579,Poco riesgo
207,-103.28508,20.59001541,Poco riesgo
208,-103.3246307,20.66426086,Sin riesgo
209,-103.3034515,20.67591286,Poco riesgo
210,-103.3642807,20.6716938,Sin riesgo
211,-103.246964,20.622379,Sin riesgo
212,-103.3870952,20.629382,Riesgo moderado
213,-103.3055209,20.6647719,Poco riesgo
214,-103.3332825,20.69872475,Poco riesgo
216,-103.4003983,20.64975357,Poco riesgo
217,-103.3593521,20.67811584,Poco riesgo
218,-103.3524475,20.62159348,Poco riesgo
219,-103.3636246,20.68687439,Sin riesgo
221,-103.3296814,20.59473038,Riesgo moderado
