id,Coordy,Coordx,riesgo
148,20.475415,-103.2678632,Alto riesgo
149,20.6965182,"-103.355071,",Poco riesgo
150,20.5969362,-103.4382889,Riesgo moderado
151,20.605056,-103.337167,Riesgo moderado
153,20.740139,-103.387444,Poco riesgo
155,20.66650772,-103.2976608,Poco riesgo
156,20.7044818,-103.3486085,Sin riesgo
157,20.64753342,-103.2612381,Riesgo moderado
158,20.68159103,-103.3186646,Poco riesgo
159,20.6839064,"-103.369443,",Poco riesgo
161,20.67280388,-103.3495865,Poco riesgo
162,20.588083,-103.38327,Riesgo moderado
163,20.70370674,-103.323494,Riesgo moderado
164,20.62952423,-103.4069672,Riesgo moderado
165,20.66524506,-103.3330307,Poco riesgo
166,20.69374847,-103.3098602,Poco riesgo
169,20.641287,-103.409173,Poco riesgo
170,20.65996361,-103.2776489,Poco riesgo
171,20.56864738,-103.3652344,Poco riesgo
172,20.6276989,-103.4608459,Riesgo moderado
173,20.66896629,-103.3068771,Poco riesgo
174,20.67248344,-103.4228973,Riesgo moderado
175,20.673968,-103.295623,Riesgo moderado
176,20.6271458,-103.4606734,Poco riesgo
177,20.62933159,-103.455246,Poco riesgo
178,20.65958405,-103.3045502,Poco riesgo
179,20.70246506,-103.3596115,Sin riesgo
180,20.68489265,-103.3671112,Poco riesgo
181,20.61882591,-103.2481308,Poco riesgo
182,20.67231369,-103.3335648,Poco riesgo
183,20.63059998,-103.3551712,Riesgo moderado
184,20.641565,-103.3637293,Poco riesgo
185,20.6737963075363,-103.3472404,Poco riesgo
186,20.71927261,-103.3538208,Poco riesgo
187,20.7185955,-103.3455963,Alto riesgo
188,20.7180709,-103.3453754,Poco riesgo
189,20.6793499,-103.2482681,Riesgo moderado
190,20.64132,-103.43288,Riesgo moderado
191,20.5554006,-103.4282501,Alto riesgo
192,20.728692,-103.566876,Alto riesgo
193,20.72685653,-103.3411927,Riesgo moderado
194,20.65880966,-103.4476471,Riesgo moderado
195,20.70240402,-103.3325653,Poco riesgo
196,20.66607857,-103.4502945,Riesgo moderado
197,20.65722656,-103.3510361,Poco riesgo
199,20.7280023,-103.4020532,Riesgo moderado
200,20.68318367,-103.3240051,Poco riesgo
201,20.72800255,-103.4009552,Riesgo moderado
202,20.67277908,-103.3506775,Sin riesgo
203,20.66270447,-103.4312592,Riesgo moderado
204,20.68212128,-103.3345337,Poco riesgo
205,20.67612076,-103.2318268,Riesgo moderado
206,20.71002579,-103.4401398,Poco riesgo
207,20.59001541,-103.28508,Poco riesgo
208,20.66426086,-103.3246307,Poco riesgo
209,20.67591286,-103.3034515,Poco riesgo
210,20.6716938,-103.3642807,Sin riesgo
211,20.622379,-103.246964,Poco riesgo
212,20.629382,-103.3870952,Riesgo moderado
213,20.6647719,-103.3055209,Poco riesgo
214,20.69872475,-103.3332825,Poco riesgo
216,20.64975357,-103.4003983,Riesgo moderado
217,20.67811584,-103.3593521,Poco riesgo
218,20.62159348,-103.3524475,Poco riesgo
219,20.68687439,-103.3636246,Poco riesgo
221,20.59473038,-103.3296814,Riesgo moderado
222,20.584494,-103.33219,Poco riesgo
223,20.65041733,-103.3669128,Poco riesgo
225,20.6882019,-103.4269791,Riesgo moderado
226,20.67051315,-103.3462524,Poco riesgo
227,20.60628128,-103.3377228,Poco riesgo
228,20.62371635,-103.437355,Riesgo moderado
229,20.645389,-103.299444,Poco riesgo
230,20.62887383,-103.3602142,Poco riesgo
231,20.5988884,-103.3347092,Poco riesgo
233,20.66423607,-103.2810059,Riesgo moderado
234,20.72299576,-103.324501,Poco riesgo
235,20.62438393,-103.3771744,Poco riesgo
236,20.64693451,-103.3211517,Poco riesgo
237,20.7130126,-103.4591241,Riesgo moderado
238,20.744482,-103.44742,Riesgo moderado
239,20.743657,-103.447796,Riesgo moderado
240,20.6322395,-103.3679256,Riesgo moderado
241,20.74332237,-103.4194641,Poco riesgo
242,20.67419624,-103.3091125,Poco riesgo
243,20.632024,-103.429312,Riesgo moderado
244,20.66988182,-103.3660431,Poco riesgo
245,20.66640663,-103.3097687,Poco riesgo
246,20.67610359,-103.3650818,Poco riesgo
247,20.62129593,-103.4227066,Poco riesgo
248,20.67326546,-103.3880005,Poco riesgo
249,20.62907028,-103.2624435,Riesgo moderado
250,20.6795063,-103.3903656,Poco riesgo
251,20.73429108,-103.4233398,Riesgo moderado
252,20.64211464,-103.4609528,Poco riesgo
253,20.5752694,-103.3165891,Alto riesgo
254,20.4812712,-103.4550041,Riesgo moderado
256,20.59361649,-103.2743988,Poco riesgo
257,20.69374847,-103.3098602,Poco riesgo
