Bicycle_routes,linear_color_weighting,Previous_accidents,Day,Sex,Age_rangue,Hourly_range,Lanes,Speed_limit,Bikeway,Public_transport,Traffic_light,Street_type,vehicle_type,Traffic_variable,Bicycle_routes_cat,predominant_color,diffuse_logic_traffic,label
0,0.291990669,0,Tuesday,M,0-19,0:00 a 01:59,2,50km/h,Yes,Yes,Yes,Avenue,Private_car,Poco trafico,No,green,B,1
0,0.38295314,0,Tuesday,M,0-19,14:00 a 15:59,1,50km/h,No,Yes,Yes,Street,Private_car,Trafico moderado,No,green,MB,0
351,0.310683868,0,Wednesday,M,40-49,18:00 a 19:59,4,50km/h,No,Yes,Yes,Avenue,Private_car,Poco trafico,Yes,green,B,0
593,0.409020817,0,Wednesday,M,20-29,08:00 a 09:59,1,50km/h,No,Yes,No,Street,Private_car,Trafico moderado,Yes,orange,MB,0
0,0.281396839,1,Friday,M,0-19,18:00 a 19:59,4,50km/h,Yes,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,No,green,B,0
15,0.637011014,0,Sunday,M,20-29,14:00 a 15:59,1,50km/h,No,Yes,Yes,Street,Private_car,Trafico moderado,Yes,red,MA,0
0,0.380139945,0,Thursday,M,40-49,08:00 a 09:59,3,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Poco trafico,No,green,MB,0
1477,0.5429939,0,Friday,M,20-29,14:00 a 15:59,1,50km/h,No,Yes,Yes,Street,Passenger_vehicle,Trafico moderado,Yes,orange,MA,0
0,0.435317034,4,Tuesday,M,20-29,10:00 a 11:59,3,50km/h,No,Yes,Yes,Avenue,Truck,Poco trafico,No,green,MA,0
0,0.25,1,Wednesday,M,50-59,20:00 a 21:59,4,80km/h,No,Yes,No,Highway,Private_car,Poco trafico,No,green,B,0
0,0.436717352,2,Thursday,M,50-59,22:00 a 23:59,4,50km/h,No,Yes,Yes,Avenue,Private_car,Trafico moderado,No,orange,MB,1
0,0.255121436,0,Friday,M,0-19,14:00 a 15:59,1,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Trafico moderado,No,green,B,0
0,0.482467935,0,Saturday,F,50-59,08:00 a 09:59,3,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Poco trafico,No,green,MA,1
0,0.25,1,Monday,M,40-49,22:00 a 23:59,5,60km/h,No,Yes,No,Peripheral,Private_car,Poco trafico,No,green,B,1
0,0.408460668,0,Monday,M,30-39,08:00 a 09:59,6,60km/h,No,Yes,Yes,Peripheral,Passenger_vehicle,Mucho trafico,No,green,MA,0
0,0.299509725,0,Friday,M,50-59,20:00 a 21:59,1,50km/h,No,Yes,No,Street,Private_car,Poco trafico,No,green,B,0
0,0,0,Saturday,M,40-49,18:00 a 19:59,4,80km/h,No,No,No,Peripheral,Passenger_vehicle,Poco trafico,No,green,B,0
174,0.32339977,1,Saturday,M,0-19,16:00 a 17:59,3,50km/h,No,Yes,Yes,Avenue,Train,Poco trafico,Yes,green,B,0
1,0.267958145,0,Monday,M,20-29,08:00 a 09:59,2,50km/h,No,Yes,No,Street,Passenger_vehicle,Poco trafico,Yes,green,B,0
0,0.296182397,1,Tuesday,M,60-69,14:00 a 15:59,1,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,No,green,B,0
731,0.318398521,2,Tuesday,M,30-39,14:00 a 15:59,2,50km/h,No,Yes,Yes,Street,Private_car,Trafico moderado,Yes,green,B,0
0,0.25,0,Wednesday,M,60-69,14:00 a 15:59,2,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,No,green,B,0
13,0.390198968,0,Tuesday,M,40-49,18:00 a 19:59,1,50km/h,No,Yes,Yes,Street,Passenger_vehicle,Trafico moderado,Yes,green,MB,1
0,0.446788057,0,Thursday,M,60-69,10:00 a 11:59,1,50km/h,No,No,No,Avenue,Private_car,Mucho trafico,No,orange,MB,0
0,0.25,0,Friday,M,30-39,06:00 a 07:59,6,30km/h,No,Yes,No,Peripheral,Private_car,Poco trafico,No,green,B,0
0,0,0,Saturday,M,0-19,12:00 a 13:59,1,50km/h,No,No,No,Street,Truck,Poco trafico,No,green,B,1
4,0.270614693,0,Wednesday,M,20-29,22:00 a 23:59,3,50km/h,No,Yes,No,Street,Private_car,Poco trafico,Yes,green,B,0
0,0.296882061,1,Saturday,M,0-19,16:00 a 17:59,2,50km/h,No,Yes,Yes,Street,Truck,Poco trafico,No,green,B,0
947,0.281434301,0,Wednesday,M,20-29,10:00 a 11:59,4,50km/h,Yes,Yes,Yes,Avenue,Private_car,Poco trafico,Yes,green,B,0
0,0.385281586,0,Thursday,M,30-39,08:00 a 09:59,3,40km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,No,green,MB,0
0,0.578475336,0,Friday,M,40-49,12:00 a 13:59,3,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,No,green,MA,1
