id,Coordx,Coordy,cantidad
244,-103.3660431,20.66988182,567
245,-103.3097687,20.66640663,0
246,-103.3650818,20.67610359,762
247,-103.4227066,20.62129593,0
248,-103.3880005,20.67326546,69
249,-103.2624435,20.62907028,0
250,-103.3903656,20.6795063,1
251,-103.4233398,20.73429108,0
252,-103.4609528,20.64211464,0
253,-103.3165891,20.5752694,0
254,-103.4550041,20.4812712,0
255,-103.2782593,20.67902565,0
256,-103.2743988,20.59361649,0
257,-103.3098602,20.69374847,0
258,-103.3252487,20.70605278,0
259,-103.355835,20.7422657,0
260,-103.3883057,20.70973778,0
261,-103.3990402,20.65082169,0
262,-103.3829041,20.64947891,0
263,-103.3903885,20.72833633,310
264,-103.4273029,20.8532469,0
265,-103.3557587,20.5727787,0
266,-103.3529205,20.69418526,496
267,-103.3370056,20.65204239,2
268,-103.3806458,20.67948723,228
269,-103.3786087,20.6893158,51
270,-103.4524002,20.69915962,0
271,-103.2773438,20.66048241,0
272,-103.3153687,20.60870171,0
273,-103.3492966,20.64040565,0
274,-103.3789291,20.59960938,0
275,-103.3810043,20.63205147,0
276,-103.308075,20.68908691,0
277,-103.3076477,20.64195442,49
278,-103.3217545,20.59061432,0
279,-103.2994919,20.69570923,0
280,-103.3607635,20.69334221,146
281,-103.435379,20.68173027,0
282,-103.3163376,20.64968109,25
283,-103.3406601,20.60936356,0
284,-103.3761826,20.70283127,0
285,-103.3478546,20.66827583,720
286,-103.306104,20.648629,38
287,-103.4061661,20.64614868,0
288,-103.3175583,20.65563393,92
289,-103.415329,20.6918354,0
291,-103.3400989,20.6502276,0
292,-103.3474503,20.7035923,81
294,-103.3637161,20.66218758,237
295,-103.3676758,20.63219261,0
296,-103.3550186,20.69934464,629
297,-103.4526291,20.766819,0
298,-103.2768707,20.60447884,0
299,-103.3593597,20.67034149,999
300,-103.4413452,20.63021851,0
301,-103.4189529,20.72478676,0
302,-103.3607539,20.6624771,266
303,-103.4107437,20.62729073,0
304,-103.3983994,20.74594116,0
305,-103.2864914,20.59971619,0
306,-103.3238373,20.62727165,0
307,-103.4526987,20.6694789,0
308,-103.2943344,20.68035126,0
309,-103.3726425,20.65613747,0
310,-103.3177338,20.66382599,0
311,-103.4513092,20.61774635,0
312,-103.2727509,20.68844986,0
313,-103.4577179,20.6486187,0
314,-103.3846817,20.64454651,0
315,-103.3538208,20.71927261,0
316,-103.2918445,20.6629847,0
317,-103.3329926,20.58906174,0
318,-103.3694505,20.679276,542
319,-103.4137953,20.7063055,0
320,-103.3516464,20.67141151,343
321,-103.3720627,20.66534805,190
322,-103.3625031,20.7337513,0
323,-103.2760468,20.66856384,0
324,-103.2522442,20.525013,0
325,-103.3538818,20.74462128,0
326,-103.3008041,20.65535164,0
327,-103.2455292,20.62725067,0
328,-103.2893448,20.66417122,0
329,-103.4312286,20.66966248,0
330,-103.3763046,20.62420273,0
331,-103.3404083,20.68199539,315
332,-103.4270401,20.67337036,0
333,-103.3428639,20.6683444,332
334,-103.283783,20.68387604,0
335,-103.2786789,20.6529026,0
336,-103.2557449,20.62694168,0
337,-103.3153229,20.67378426,0
338,-103.3637009,20.68483162,486
339,-103.2420289,20.4957771,0
340,-103.3327103,20.66248512,282
341,-103.3840256,20.67217445,810
342,-103.2699814,20.64919472,0
343,-103.3395462,20.63952637,0
344,-103.3740311,20.71342659,179
345,-103.3013819,20.6553983,0
346,-103.3259577,20.59567,0
347,-103.2976462,20.535263,0
348,-103.4337769,20.62541962,0
349,-103.371582,20.67136574,779
350,-103.4243774,20.66887093,0
351,-103.4629211,20.78166962,0
352,-103.3560257,20.65926743,244
353,-103.4306183,20.67278481,0
354,-103.4488678,20.62972832,0
355,-103.3322449,20.58480263,0
356,-103.3234863,20.68539238,1
357,-103.3575401,20.676123,1115
358,-103.3434219,20.65293121,0
359,-103.3137223,20.6578202,0
360,-103.4349672,20.6166622,0
361,-103.4383767,20.7635297,0
362,-103.3043618,20.6258522,0
363,-103.3004074,20.69367981,0
364,-103.368103,20.7357235,0
365,-103.3497162,20.64326859,0
366,-103.3938141,20.63546562,0
367,-103.2456207,20.62727547,0
368,-103.3746373,20.6667586,173
369,-103.3151932,20.72730255,0
370,-103.3910141,20.66643143,315
371,-103.355072,20.7070961,8
372,-103.2967987,20.71122932,0
373,-103.3063049,20.6909256,0
374,-103.3666534,20.73561668,0
375,-103.3688812,20.67888832,648
376,-103.4729767,20.54269791,0
377,-103.364563,20.74044609,0
378,-103.3601303,20.54199028,0
379,-103.3689804,20.72258759,0
380,-103.357605,20.50803375,0
381,-103.4119263,20.70750046,0
382,-103.3232422,20.69380569,0
383,-103.4097366,20.66861725,66
384,-103.419014,20.72473145,0
385,-103.2724991,20.64844322,0
386,-103.3915176,20.65515709,48
387,-103.3661499,20.67378616,1810
388,-103.2508087,20.65890884,0
389,-103.3280411,20.60803032,0
390,-103.4373627,20.5990448,0
391,-103.2394104,20.60116959,0
392,-103.2642822,20.6858387,0
393,-103.3527674,20.6572816,172
394,-103.3523712,20.67724037,681
395,-103.3695526,20.72619438,0
396,-103.2621307,20.68457413,0
397,-103.3787613,20.63098717,0
398,-103.3435886,20.5124421,0
400,-103.4001436,20.5968377,0
401,-103.4032592,20.6248173,0
402,-103.3431168,20.67304802,203
403,-103.311142,20.69176865,0
404,-103.373909,20.62374687,0
405,-103.2476472,20.438574,0
406,-103.4278256,20.5557143,0
407,-103.4235992,20.67331696,0
408,-103.4455551,20.4734592,0
409,-103.3638306,20.57391548,0
410,-103.3799744,20.67561722,286
411,-103.3082657,20.72208786,0
412,-103.3070823,20.7218574,0
413,-103.4360886,20.63075829,0
414,-103.3114929,20.63842773,114
415,-103.409729,20.73337364,0
416,-103.3548355,20.71327209,0
417,-103.4530106,20.71201515,0
418,-103.3669128,20.65041733,0
419,-103.347023,20.62309456,0
420,-103.3296967,20.64616394,0
421,-103.379097,20.51122665,0
422,-103.2758026,20.65977287,0
423,-103.3672028,20.67234039,1479
424,-103.3153,20.69260406,0
425,-103.2481308,20.61882591,0
426,-103.359375,20.67167473,1039
427,-103.3708038,20.68502808,398
428,-103.2908968,20.5264853,0
429,-103.3239136,20.70812988,0
430,-103.3120651,20.6773777,0
431,-103.3819199,20.68258476,97
432,-103.261261,20.67692375,0
433,-103.310463,20.68942833,0
434,-103.3397153,20.5813545,0
435,-103.3557892,20.74369049,0
436,-103.4047546,20.7317791,0
437,-103.3474808,20.67740631,1570
438,-103.3347092,20.67949295,4
439,-103.352272,20.68185234,1177
440,-103.3892599,20.7407909,5
441,-103.4511261,20.76652527,0
442,-103.2766647,20.66537285,0
443,-103.3466034,20.67731285,1629
444,-103.3428116,20.61523628,0
445,-103.4488678,20.62972832,0
446,-103.3970566,20.73345947,46
447,-103.3450699,20.7215023,0
448,-103.2807007,20.66594887,0
449,-103.3648224,20.6388855,0
450,-103.4213791,20.66271019,0
451,-103.4706392,20.5475323,0
452,-103.4773262,20.547442,0
453,-103.354805,20.67718506,2058
454,-103.3597946,20.62120628,0
455,-103.2898254,20.62271118,0
456,-103.3716812,20.62247849,0
457,-103.3738541,20.6227853,0
458,-103.5311687,20.729089,0
459,-103.3106766,20.70957375,0
460,-103.3718719,20.6579628,0
461,-103.2940979,20.70713425,0
462,-103.3359756,20.65052032,2
463,-103.4426309,20.5696737,0
464,-103.274231,20.65874863,0
465,-103.4350163,20.453042,0
466,-103.4485855,20.69560623,0
467,-103.2887573,20.67943382,0
468,-103.4526825,20.6407032,0
469,-103.3868103,20.59171486,0
471,-103.3049164,20.67177391,0
472,-103.239006,20.59152603,0
473,-103.3901443,20.66246223,7
474,-103.3330231,20.64590454,0
475,-103.3625031,20.7337513,0
476,-103.3313675,20.67874146,4
477,-103.3502791,20.63182,0
478,-103.2417984,20.59327888,0
479,-103.4275061,20.5336588,0
480,-103.3417664,20.65077209,0
481,-103.3391037,20.68315125,471
482,-103.286087,20.67385292,0
483,-103.437706,20.76301575,0
484,-103.4688255,20.5582179,0
485,-103.2402417,20.683602,0
486,-103.3152313,20.66807747,0
487,-103.4394932,20.5713133,0
488,-103.3829041,20.64947891,0
489,-103.4514923,20.73109818,0
490,-103.2457512,20.6844493,0
491,-103.3979497,20.5075402,0
492,-103.404213,20.53791237,0
493,-103.2980499,20.61911964,0
494,-103.3531036,20.66088295,79
495,-103.2569515,20.4648257,0
496,-103.2718287,20.6089574,0
497,-103.3713482,20.6973193,122
498,-103.444252,20.7680912,0
499,-103.371933,20.63588142,0
500,-103.3644104,20.74343872,0
501,-103.3715769,20.6705536,631
502,-103.3217545,20.59061432,0
503,-103.4232178,20.65831184,0
504,-103.3452988,20.72140312,0
505,-103.4603806,20.6446209,0
506,-103.4771881,20.79560661,0
507,-103.3213272,20.71292877,0
508,-103.4373627,20.5990448,0
509,-103.3519974,20.7311306,0
510,-103.2968903,20.690485,0
511,-103.4485855,20.69560623,0
512,-103.3214499,20.5897852,0
513,-103.3196487,20.68837547,0
514,-103.3101196,20.66538811,0
515,-103.4007999,20.6183324,0
516,-103.2957764,20.70570946,0
517,-103.3625412,20.57775307,0
518,-103.3427124,20.66987419,515
519,-103.4217727,20.7316099,0
520,-103.431114,20.589315,0
521,-103.3699417,20.52993774,0
522,-103.4598236,20.70366478,0
523,-103.3939133,20.7315464,76
524,-103.4161987,20.64039421,0
525,-103.35466,20.67490578,2596
526,-103.342353,20.675242,410
527,-103.3864097,20.753126,0
528,-103.4392014,20.65865326,0
529,-103.4669571,20.63513756,0
530,-103.2905762,20.5255062,0
531,-103.4659119,20.63594818,0
532,-103.3067169,20.64443016,51
533,-103.3287659,20.65204239,3
534,-103.3455582,20.72133636,0
535,-103.2948803,20.5300036,0
536,-103.3676302,20.734029,0
537,-103.2905762,20.5255062,0
538,-103.4711852,20.5470065,0
539,-103.3807373,20.65283012,0
540,-103.3529968,20.64794731,0
542,-103.399353,20.64254379,0
543,-103.4286499,20.72997665,0
544,-103.3785858,20.67928505,406
545,-103.4269638,20.61478424,0
546,-103.2616425,20.68589973,0
547,-103.1678312,20.572195,0
548,-103.3009567,20.67512894,0
549,-103.442858,20.648447,0
550,-103.4598334,20.7032559,0
551,-103.3403931,20.68313408,235
552,-103.3614144,20.5471296,0
553,-103.362999,20.68196869,459
554,-103.2811127,20.66338539,0
555,-103.3642044,20.74823189,0
556,-103.339119,20.68202019,286
557,-103.3526611,20.69799232,247
558,-103.3090439,20.61732864,0
559,-103.3879395,20.642416,0
560,-103.3768768,20.63028145,0
561,-103.4647293,20.62541389,0
562,-103.3571032,20.6414921,0
563,-103.3655427,20.7221467,0
564,-103.3548508,20.67412758,2418
565,-103.4061661,20.64614868,0
566,-103.3115234,20.65837288,0
567,-103.4466782,20.76983643,0
568,-103.3594208,20.67398834,1428
569,-103.373818,20.7369285,5
570,-103.3870926,20.72523308,225
571,-103.3483875,20.629086,0
572,-103.4236908,20.73508453,0
573,-103.3178024,20.66069221,0
574,-103.3461227,20.6291008,0
575,-103.371727,20.67904854,606
576,-103.3540497,20.69888115,626
577,-103.4396561,20.7609254,0
578,-103.3866086,20.5920722,0
579,-103.3466034,20.67731285,1629
580,-103.4642192,20.5446633,0
581,-103.375689,20.6240259,0
582,-103.3538208,20.71927261,0
583,-103.4407501,20.64361191,0
584,-103.447319,20.63977432,0
585,-103.4602737,20.64506912,0
586,-103.403053,20.648224,0
587,-103.2911301,20.66720963,0
588,-103.3659296,20.6642733,294
589,-103.3465424,20.68985367,670
590,-103.3517704,20.7067349,8
591,-103.2723541,20.69175339,0
592,-103.4169998,20.55851364,0
593,-103.3122482,20.6464386,55
594,-103.3551025,20.69615364,438
595,-103.3522568,20.68276024,1597
596,-103.346138,20.71412468,0
597,-103.3715213,20.7002455,0
598,-103.411644,20.73101807,0
599,-103.4310684,20.72991371,0
600,-103.4583206,20.70864296,0
601,-103.3780594,20.75095367,0
602,-103.4330327,20.4640569,0
603,-103.3003693,20.66679382,0
604,-103.3127747,20.56100082,0
605,"-103.315795,",20.6446286,5
606,-103.4516392,20.6176973,0
607,-103.371582,20.67136574,779
608,-103.3503876,20.67946243,415
609,-103.3739243,20.62227631,0
610,-103.3283844,20.66835403,21
611,-103.4155884,20.62308693,0
612,-103.4565125,20.64966011,0
613,-103.411362,20.743734,0
614,-103.3302231,20.62648964,0
615,-103.4341736,20.75853348,0
616,-103.3539658,20.68277359,1846
617,-103.455627,20.717493,0
618,-103.2833862,20.61052895,0
619,-103.4441173,20.7303512,0
620,-103.411644,20.73101807,0
621,-103.3844281,20.7060569,0
622,-103.2785339,20.6883812,0
623,-103.3532104,20.65039444,0
624,-103.2948303,20.68873978,0
625,-103.3938828,20.73140526,76
626,-103.4150085,20.63545227,0
627,-103.3327408,20.69846344,0
628,-103.3963318,20.61320877,0
629,-103.2698898,20.65761566,0
630,-103.447151,20.745565,0
631,-103.3519974,20.7311306,0
632,-103.3546982,20.67218399,1029
633,-103.3541336,20.68379402,1621
634,-103.539711,20.72906303,0
635,-103.3651276,20.63015175,0
636,-103.446678,20.766653,0
637,-103.3463659,20.6543094,2
638,-103.3857346,20.65824318,25
639,-103.2637634,20.69003487,0
640,-103.335289,20.66722488,305
641,-103.3935181,20.7398793,8
642,-103.3915176,20.65515709,48
643,"-103.314446,",20.6464483,2
644,-103.2856293,20.61663246,0
645,-103.4687347,20.63352966,0
646,-103.3763324,20.7125652,214
647,-103.3765793,20.71332169,214
648,-103.3548203,20.67634201,2323
649,-103.3583298,20.56100464,0
650,-103.3370743,20.72545815,0
651,-103.327919,20.66426468,108
652,-103.3620148,20.6868248,250
653,-103.3370743,20.72545815,0
654,-103.4190063,20.73039246,0
655,-103.2322083,20.5990448,0
656,-103.4245605,20.68377113,0
657,-103.3139877,20.69924164,0
658,-103.375473,20.69862747,0
659,-103.4310684,20.72991371,0
660,-103.3340312,20.5472405,0
661,-103.3339767,20.54715729,0
662,-103.3216071,20.61800476,0
663,-103.2270819,20.6702652,0
664,-103.4292984,20.63197136,0
665,-103.3324203,20.60724258,0
666,-103.3980179,20.72801781,23
667,-103.3865433,20.6795311,33
668,-103.3715897,20.6722641,1479
669,-103.3519669,20.64229584,0
670,-103.3568573,20.67407036,1990
671,-103.247139,20.60351181,0
672,-103.3474503,20.7035923,81
673,-103.3785706,20.73864365,335
674,-103.35466,20.67570114,2562
675,-103.3487778,20.62825203,0
676,-103.4569626,20.7130127,0
677,-103.4061661,20.64614868,0
678,-103.3009567,20.67512894,0
679,-103.322464,20.62915802,0
680,-103.3432321,20.67594807,769
681,-103.3169098,20.72097969,0
682,-103.3740311,20.71342659,179
683,-103.3270084,20.6528127,358
684,-103.4467697,20.64882469,0
685,-103.3585739,20.67481995,1581
686,-103.4360974,20.7564634,0
687,-103.3401718,20.68589592,449
688,-103.3021927,20.69021416,0
689,-103.3552475,20.7201767,0
690,-103.3863227,20.7313969,463
691,-103.3907351,20.730688,122
692,-103.2698898,20.65761566,0
693,-103.3840164,20.6721671,810
694,-103.3670654,20.66766548,475
695,-103.3468228,20.6835631,1524
696,-103.3273602,20.693894,0
697,-103.3535054,20.70140415,135
698,-103.4308302,20.692717,0
699,-103.4232938,20.5847599,0
700,-103.4061661,20.64614868,0
701,-103.3550334,20.6203071,0
702,-103.2824297,20.503148,0
703,-103.2348175,20.66882515,0
704,-103.4095001,20.71277428,0
705,-103.3357854,20.6861734,386
706,-103.3620656,20.6840903,545
707,-103.4298224,20.7301802,0
708,-103.347084,20.70549965,85
709,-103.3722916,20.69735336,97
710,-103.3335419,20.72414017,0
711,-103.3727652,20.667058,325
712,-103.4382019,20.68259048,0
713,-103.2779694,20.63866425,0
714,-103.3543091,20.67808342,1873
715,-103.3575668,20.62834358,0
716,-103.2557394,20.65812,0
717,-103.3541486,20.6837892,1620
718,-103.410759,20.59407043,0
719,-103.3461914,20.68358612,1200
720,-103.4133148,20.73085785,0
721,-103.3491246,20.506045,0
722,-103.2944336,20.66194725,0
723,-103.3826752,20.67217064,734
724,-103.45163,20.731115,0
725,-103.3417664,20.65077209,0
726,-103.3285904,20.66259384,162
727,-103.3480453,20.62679291,0
728,-103.437706,20.76301575,0
729,-103.2838135,20.65144157,0
730,-103.2627106,20.59447861,0
731,-103.3593979,20.72772026,0
732,-103.3548584,20.70487022,30
733,-103.3704902,20.6753866,954
734,-103.4189562,20.6384812,0
735,-103.3687668,20.67370987,1429
736,-103.3289116,20.6641349,165
737,-103.4741172,20.5352683,0
738,-103.3089557,20.6660878,0
739,-103.3037262,20.66198349,0
740,-103.3443048,20.6707571,531
741,-103.3610972,20.657466,0
742,-103.4210205,20.62902832,0
743,-103.384819,20.67680931,251
744,-103.3678422,20.662344,180
745,-103.2994545,20.6881273,0
746,-103.3562958,20.5503927,0
747,-103.3731552,20.6843488,352
748,-103.3735809,20.68437195,353
749,-103.4281616,20.75026321,0
750,-103.3910751,20.73494148,0
751,-103.4939117,20.80164719,0
752,-103.3444061,20.68296242,528
753,-103.4549234,20.4827758,0
754,-103.4346161,20.65842247,0
755,-103.376137,20.712837,214
756,-103.3669128,20.65041733,0
757,-103.2415237,20.67940521,0
758,-103.3219785,20.6288918,0
759,-103.3896047,20.7290231,483
760,-103.3750687,20.71235085,179
761,-103.3799896,20.67059135,266
762,-103.3625031,20.7337513,0
763,-103.3443832,20.67071533,608
764,-103.4177856,20.59807205,0
765,-103.25182,20.628398,0
766,-103.360689,20.661882,239
767,-103.3196487,20.68837547,0
768,-103.3543091,20.67868233,1786
769,-103.3237991,20.59508705,0
770,-103.4391371,20.7627933,0
771,-103.397907,20.747772,0
772,-103.429283,20.641559,0
773,-103.3299942,20.67407227,5
774,-103.369278,20.652707,0
775,-103.4202984,20.6822878,0
776,-103.3589554,20.63202477,0
777,-103.4175599,20.7267137,0
778,-103.349515,20.623451,0
779,-103.3538361,20.68704987,854
780,-103.3801956,20.65716743,0
781,-103.365059,20.684886,457
782,-103.3620857,20.6841506,545
783,-103.4318695,20.59719467,0
784,-103.3550186,20.69934464,629
785,-103.38188,20.656358,0
786,-103.4457957,20.6300425,0
787,-103.3765793,20.71332169,214
788,-103.3384399,20.6530571,2
789,-103.3053513,20.6535511,0
790,-103.3872528,20.72436142,229
791,-103.452183,20.604109,0
792,-103.3322449,20.58480263,0
793,-103.277681,20.685544,0
794,-103.470424,20.801036,0
795,-103.4189529,20.72478676,0
796,-103.3713837,20.62340927,0
797,-103.3563763,20.6207048,0
798,-103.3920581,20.7429331,0
799,-103.419236,20.740602,0
800,-103.4360886,20.63075829,0
801,-103.437706,20.76301575,0
802,-103.361959,20.689775,337
803,-103.3538208,20.71927261,0
804,-103.3929534,20.6664412,330
805,-103.412771,20.635894,0
806,-103.3799744,20.64668846,0
807,-103.368544,20.7274846,0
808,-103.4447128,20.777462,0
809,-103.336176,20.629972,0
810,-103.3890228,20.72891808,483
811,-103.3202896,20.61533165,0
812,-103.4238521,20.7299895,0
813,-103.3423233,20.6744957,410
814,-103.2830231,20.6649786,0
815,-103.437706,20.76301575,0
816,-103.3337708,20.66372108,417
