id,Bicycle_routes,linear_color_weighting,Previous_accidents,Day,Sex,Age_rangue,Hourly_range,Lanes,Speed_limit,Bikeway,Public_transport,Traffic_light,Street_type,vehicle_type,Traffic_variable,Bicycle_routes_cat,predominant_color,diffuse_logic_traffic,label
199,0,0.25,1,Monday,M,70+,22:00 a 23:59,1,50km/h,No,Yes,No,Avenue,,Poco trafico,No,green,B,1
200,1,0.267958145,0,Monday,M,20-29,08:00 a 09:59,2,50km/h,No,Yes,No,Street,Passenger_vehicle,Poco trafico,Yes,green,B,0
201,0,0.296182397,1,Tuesday,M,60-69,14:00 a 15:59,1,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,No,green,B,0
202,731,0.318398521,2,Tuesday,M,30-39,14:00 a 15:59,2,50km/h,No,Yes,Yes,Street,Private_car,Trafico moderado,Yes,green,B,0
203,0,0.25,0,Wednesday,M,60-69,14:00 a 15:59,2,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,No,green,B,0
204,13,0.390198968,0,Tuesday,M,40-49,18:00 a 19:59,1,50km/h,No,Yes,Yes,Street,Passenger_vehicle,Trafico moderado,Yes,green,MB,1
205,0,0.446788057,0,Thursday,M,60-69,10:00 a 11:59,1,50km/h,No,No,No,Avenue,Private_car,Mucho trafico,No,orange,MB,0
206,0,0.25,0,Friday,M,30-39,06:00 a 07:59,6,30km/h,No,Yes,No,Peripheral,Private_car,Poco trafico,No,green,B,0
207,0,0,0,Saturday,M,0-19,12:00 a 13:59,1,50km/h,No,No,No,Street,Truck,Poco trafico,No,green,B,1
208,4,0.270614693,0,Wednesday,M,20-29,22:00 a 23:59,3,50km/h,No,Yes,No,Street,Private_car,Poco trafico,Yes,green,B,0
209,0,0.296882061,1,Saturday,M,0-19,16:00 a 17:59,2,50km/h,No,Yes,Yes,Street,Truck,Poco trafico,No,green,B,0
210,947,0.281434301,0,Wednesday,M,20-29,10:00 a 11:59,4,50km/h,Yes,Yes,Yes,Avenue,Private_car,Poco trafico,Yes,green,B,0
211,0,0.385281586,0,Thursday,M,30-39,08:00 a 09:59,3,40km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,No,green,MB,0
212,0,0.578475336,0,Friday,M,40-49,12:00 a 13:59,3,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,No,green,MA,1
213,0,0.264653641,0,Friday,M,50-59,06:00 a 07:59,4,50km/h,No,Yes,Yes,Avenue,Private_car,Poco trafico,No,green,B,1
214,0,0.310785587,2,Friday,M,20-29,20:00 a 21:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,No,green,B,0
216,0,0.304767184,1,Saturday,M,40-49,12:00 a 13:59,4,50km/h,No,Yes,No,Avenue,Private_car,Trafico moderado,No,green,B,0
217,710,0.347714633,0,Thursday,M,20-29,16:00 a 17:59,3,50km/h,No,Yes,Yes,Avenue,Truck,Poco trafico,Yes,green,MB,0
218,0,0.25,0,Thursday,M,60-69,14:00 a 15:59,1,50km/h,No,No,No,Street,Passenger_vehicle,Trafico moderado,No,green,B,0
219,257,0.269619865,1,Monday,M,20-29,12:00 a 13:59,1,40km/h,No,Yes,No,Street,Private_car,Trafico moderado,Yes,green,B,0
221,0,0.25,0,Tuesday,M,50-59,08:00 a 09:59,1,50km/h,No,No,No,Avenue,Truck,Trafico moderado,No,green,B,0
222,0,0.368882979,3,Wednesday,M,50-59,06:00 a 07:59,5,60km/h,No,Yes,Yes,Peripheral,Passenger_vehicle,Poco trafico,No,green,MB,0
223,0,0.276232114,3,Thursday,M,40-49,20:00 a 21:59,5,60km/h,No,Yes,Yes,Avenue,Truck,Poco trafico,No,green,B,0
225,0,0.426572056,0,Monday,F,20-29,14:00 a 15:59,3,80km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Trafico moderado,No,green,MB,0
226,1156,0.471069869,1,Tuesday,M,60-69,06:00 a 07:59,2,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Trafico moderado,Yes,orange,MB,0
227,0,0.288522727,1,Tuesday,M,20-29,22:00 a 23:59,1,50km/h,No,Yes,No,Street,Passenger_vehicle,Poco trafico,No,green,B,0
228,0,0.359647926,0,Wednesday,M,0-19,12:00 a 13:59,3,50km/h,No,Yes,No,Avenue,,Trafico moderado,No,green,MB,0
229,49,0.477876393,0,Friday,M,0-19,14:00 a 15:59,2,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,Yes,green,MA,0
230,0,0.25,0,Friday,M,60-69,06:00 a 07:59,2,50km/h,No,Yes,No,Street,Private_car,Poco trafico,No,green,B,0
231,0,0.453640222,0,Friday,M,40-49,10:00 a 11:59,1,50km/h,No,Yes,No,Street,Multiple_collision,Poco trafico,No,orange,MB,0
233,0,0.25,2,Sunday,M,20-29,22:00 a 23:59,2,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,No,green,B,0
234,0,0,0,Monday,M,0-19,20:00 a 21:59,1,50km/h,No,Yes,No,Street,Passenger_vehicle,Poco trafico,No,green,B,0
235,0,0.358232285,2,Friday,M,60-69,10:00 a 11:59,2,40km/h,No,Yes,Yes,Avenue,Truck,Poco trafico,No,green,MB,0
236,176,0.305092472,0,Saturday,M,30-39,06:00 a 07:59,3,50km/h,No,Yes,Yes,Avenue,Truck,Poco trafico,Yes,green,B,0
237,0,0.409864579,1,Tuesday,M,30-39,14:00 a 15:59,3,50km/h,No,Yes,Yes,Avenue,Truck,Trafico moderado,No,green,MB,1
238,0,0.25,2,Tuesday,M,30-39,14:00 a 15:59,3,50km/h,Yes,Yes,No,Avenue,Truck,Poco trafico,No,green,B,1
239,0,0.25,1,Tuesday,M,30-39,12:00 a 13:59,3,50km/h,No,Yes,No,Avenue,Truck,Poco trafico,No,green,B,1
240,0,0.358593959,1,Saturday,M,,18:00 a 19:59,3,50km/h,No,Yes,No,Avenue,Private_car,Trafico moderado,No,green,MB,1
241,0,0.382643607,0,Saturday,M,0-19,08:00 a 09:59,2,50km/h,No,Yes,Yes,Avenue,Private_car,Poco trafico,No,orange,MB,0
242,0,0.25,0,Wednesday,M,60-69,10:00 a 11:59,2,50km/h,No,Yes,No,Street,Truck,Poco trafico,No,green,B,0
243,0,0.33601177,1,Monday,M,30-39,22:00 a 23:59,3,50km/h,No,Yes,Yes,Avenue,Passenger_vehicle,Poco trafico,No,green,MB,1
244,567,0.328886311,0,Tuesday,M,40-49,12:00 a 13:59,1,50km/h,No,Yes,No,Street,Private_car,Mucho trafico,Yes,green,B,0
245,0,0.330501973,3,Tuesday,M,30-39,14:00 a 15:59,4,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,No,green,B,0
246,762,0.362672018,1,Wednesday,F,20-29,0:00 a 01:59,1,50km/h,No,Yes,No,Street,Private_car,Poco trafico,Yes,green,MB,0
247,0,0.38547092,0,Thursday,M,30-39,14:00 a 15:59,4,50km/h,No,Yes,No,Avenue,Private_car,Trafico moderado,No,green,MB,0
248,69,0.577066116,1,Thursday,F,30-39,10:00 a 11:59,4,50km/h,No,Yes,Yes,Avenue,Private_car,Trafico moderado,Yes,orange,MB,0
249,0,0.272479399,0,Friday,M,20-29,12:00 a 13:59,3,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Trafico moderado,No,green,B,0
250,1,0.285622179,0,Friday,M,60-69,10:00 a 11:59,3,50km/h,No,Yes,No,Avenue,Truck,Poco trafico,Yes,green,B,0
251,0,0.25,1,Tuesday,M,20-29,22:00 a 23:59,2,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Poco trafico,No,green,B,0
252,0,0.29797264,0,Saturday,M,20-29,22:00 a 23:59,2,50km/h,No,Yes,Yes,Avenue,,Poco trafico,No,green,B,0
253,0,0.335690165,0,Thursday,M,20-29,12:00 a 13:59,3,80km/h,No,Yes,No,Highway,Private_car,Poco trafico,No,green,MB,0
254,0,0.25,1,Saturday,M,60-69,14:00 a 15:59,2,60km/h,No,Yes,No,Avenue,Truck,Poco trafico,No,green,B,0
256,0,0.5,0,Sunday,,,12:00 a 13:59,1,50km/h,No,No,No,Street,Passenger_vehicle,Trafico moderado,No,orange,MB,0
257,0,0.25,1,Friday,M,0-19,10:00 a 11:59,1,50km/h,No,Yes,No,Street,Truck,Poco trafico,No,green,B,0
259,0,0.389631098,1,Wednesday,M,30-39,18:00 a 19:59,2,50km/h,No,Yes,Yes,Avenue,Private_car,Trafico moderado,No,green,MB,0
260,0,0.402226001,1,Wednesday,M,20-29,16:00 a 17:59,3,50km/h,No,Yes,Yes,Avenue,Truck,Poco trafico,No,green,MB,1
261,0,0.33024819,1,Thursday,M,,10:00 a 11:59,4,50km/h,No,Yes,Yes,Avenue,,Poco trafico,No,green,MB,0
262,0,0.503311258,1,Friday,M,30-39,12:00 a 13:59,2,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Trafico moderado,No,orange,MA,0
264,0,0,0,Thursday,M,20-29,08:00 a 09:59,2,50km/h,No,Yes,No,Street,Private_car,Trafico moderado,No,green,B,0
265,0,0.25,0,Friday,M,60-69,22:00 a 23:59,1,50km/h,No,Yes,No,Street,Truck,Poco trafico,No,green,B,0
266,496,0.372081218,0,Sunday,M,0-19,22:00 a 23:59,1,50km/h,No,No,No,Street,Private_car,Poco trafico,Yes,green,MB,0
268,228,0.52005827,0,Friday,M,20-29,10:00 a 11:59,3,50km/h,No,Yes,No,Avenue,Private_car,Poco trafico,Yes,orange,MA,0
269,51,0.25,0,Tuesday,M,20-29,16:00 a 17:59,2,50km/h,No,No,No,Street,Private_car,Trafico moderado,Yes,green,B,0
270,0,0.528531218,0,Thursday,M,20-29,08:00 a 09:59,6,60km/h,No,Yes,Yes,Peripheral,Passenger_vehicle,Trafico moderado,No,orange,MA,0
271,0,0.381465103,2,Friday,M,20-29,18:00 a 19:59,2,50km/h,No,Yes,No,Avenue,Passenger_vehicle,Trafico moderado,No,green,MB,0
272,0,0.448529412,0,Saturday,M,50-59,10:00 a 11:59,1,50km/h,No,No,No,Street,Passenger_vehicle,Poco trafico,No,green,MA,1
