id,Coordy,Coordx,riesgo,Probabilidad_Clase_0,Probabilidad_Clase_1,riesgoFormula
76,20.6466723,"-103.310104,",Poco riesgo,0.418210852,0.581789148,Poco riesgo
77,20.5849772,-103.3322499,Alto riesgo,0.846178307,0.153821693,Alto riesgo
78,20.7588489,-103.4311958,Poco riesgo,0.421115888,0.578884112,Poco riesgo
79,20.636272,-103.4723762,Poco riesgo,0.485128234,0.514871766,Poco riesgo
80,20.590223,-103.274309,Poco riesgo,0.420666266,0.579333734,Poco riesgo
81,20.6391999,-103.3169647,Poco riesgo,0.403073629,0.596926371,Poco riesgo
82,20.592777,-103.2879092,Alto riesgo,0.922289909,0.077710091,Alto riesgo
84,20.6511645,-103.4565117,Riesgo moderado,0.618965247,0.381034753,Riesgo moderado
85,20.5990039,-103.4323818,Poco riesgo,0.420666266,0.579333734,Poco riesgo
86,20.6737255,-103.3709368,Sin riesgo,0.246818791,0.753181209,Sin riesgo
87,20.6447868,-103.2871127,Riesgo moderado,0.550068228,0.449931772,Riesgo moderado
88,20.560344,-103.3691127,Poco riesgo,0.423276146,0.576723854,Poco riesgo
89,20.6726477,-103.3552147,Sin riesgo,0.239400892,0.760599108,Sin riesgo
90,20.6906242,-103.3156137,Riesgo moderado,0.550068228,0.449931772,Riesgo moderado
91,20.6297745,-103.3705316,Poco riesgo,0.366251223,0.633748777,Poco riesgo
92,20.6526931,-103.2368606,Poco riesgo,0.477540119,0.522459881,Poco riesgo
93,20.614649,-103.2451482,Riesgo moderado,0.605692313,0.394307687,Riesgo moderado
94,20.6281287,-103.4029186,Poco riesgo,0.477540119,0.522459881,Poco riesgo
95,20.562935,-103.2955512,Alto riesgo,0.904268616,0.095731384,Alto riesgo
96,20.7998417,-103.5060724,Riesgo moderado,0.605692313,0.394307687,Riesgo moderado
97,20.7380937,-103.3787218,Alto riesgo,0.771038206,0.228961794,Alto riesgo
98,20.6735678,-103.3737734,Poco riesgo,0.288442666,0.711557334,Poco riesgo
99,20.6676763,-103.3339741,Poco riesgo,0.309327517,0.690672483,Poco riesgo
100,20.6568626,-103.3571706,Riesgo moderado,0.618965247,0.381034753,Riesgo moderado
101,20.530454,-103.4071491,Poco riesgo,0.479749945,0.520250055,Poco riesgo
102,20.7399079,-103.3439448,Alto riesgo,0.904268616,0.095731384,Alto riesgo
104,20.6807865,"-103.311924,",Poco riesgo,0.273027582,0.726972418,Poco riesgo
105,20.7310821,-103.4537768,Poco riesgo,0.477540119,0.522459881,Poco riesgo
106,20.6994503,-103.3348022,Riesgo moderado,0.553926639,0.446073361,Riesgo moderado
107,20.6794587,-103.3356087,Poco riesgo,0.369431749,0.630568251,Poco riesgo
108,20.6267774,-103.2434868,Poco riesgo,0.485128234,0.514871766,Poco riesgo
109,20.6689961,-103.2347405,Alto riesgo,0.810675459,0.189324541,Alto riesgo
